time,gFx,gFy,gFz,0
18:23:49:396,1.0188,0.0728,-0.0984,1.027
18:23:49:398,1.0168,0.0743,-0.0967,1.026
18:23:49:399,1.0144,0.0757,-0.0947,1.023
18:23:49:401,1.0114,0.0777,-0.0916,1.020
18:23:49:403,1.0073,0.0801,-0.0886,1.016
18:23:49:405,1.0034,0.0826,-0.0869,1.013
18:23:49:406,1.0009,0.0843,-0.0859,1.010
18:23:49:413,1.0002,0.0853,-0.0859,1.010
18:23:49:415,0.9987,0.0867,-0.0872,1.009
18:23:49:416,0.9973,0.0884,-0.0894,1.007
18:23:49:417,0.9973,0.0899,-0.0913,1.008
18:23:49:418,0.9982,0.0921,-0.0908,1.009
18:23:49:419,0.9963,0.0958,-0.0872,1.007
18:23:49:421,0.9941,0.0975,-0.0842,1.005
18:23:49:422,0.9904,0.1009,-0.0793,1.002
18:23:49:424,0.9870,0.1038,-0.0764,0.999
18:23:49:431,0.9826,0.1058,-0.0730,0.995
18:23:49:433,0.9797,0.1073,-0.0684,0.992
18:23:49:434,0.9777,0.1099,-0.0644,0.990
18:23:49:436,0.9731,0.1168,-0.0625,0.986
18:23:49:437,0.9687,0.1244,-0.0593,0.983
18:23:49:438,0.9784,0.1204,-0.0525,0.992
18:23:49:438,0.9899,0.1116,-0.0552,1.002
18:23:49:440,0.9955,0.1043,-0.0649,1.007
18:23:49:443,0.9953,0.1011,-0.0771,1.007
18:23:49:444,0.9936,0.1014,-0.0886,1.006
18:23:49:446,0.9831,0.1082,-0.1013,0.997
18:23:49:448,0.9824,0.1124,-0.1070,0.998
18:23:49:450,0.9985,0.1031,-0.1123,1.013
18:23:49:452,1.0114,0.0897,-0.1228,1.025
18:23:49:455,1.0141,0.0828,-0.1353,1.028
18:23:49:456,1.0168,0.0801,-0.1416,1.031
18:23:49:458,1.0175,0.0806,-0.1465,1.032
18:23:49:462,1.0141,0.0853,-0.1499,1.030
18:23:49:465,1.0122,0.0894,-0.1504,1.028
18:23:49:466,1.0112,0.0916,-0.1543,1.028
18:23:49:467,1.0061,0.0950,-0.1602,1.024
18:23:49:468,0.9951,0.0999,-0.1663,1.015
18:23:49:470,0.9850,0.1026,-0.1719,1.007
18:23:49:472,0.9819,0.1007,-0.1736,1.004
18:23:49:474,0.9806,0.0955,-0.1758,1.002
18:23:49:477,0.9809,0.0904,-0.1802,1.002
18:23:49:479,0.9804,0.0870,-0.1866,1.002
18:23:49:480,0.9777,0.0845,-0.1956,1.001
18:23:49:482,0.9745,0.0831,-0.2035,0.999
18:23:49:484,0.9711,0.0821,-0.2071,0.996
18:23:49:486,0.9665,0.0816,-0.2057,0.991
18:23:49:488,0.9633,0.0804,-0.2032,0.988
18:23:49:490,0.9616,0.0799,-0.2017,0.986
18:23:49:493,0.9574,0.0801,-0.1983,0.981
18:23:49:494,0.9447,0.0853,-0.1773,0.966
18:23:49:496,0.8736,0.1107,-0.0813,0.889
18:23:49:498,0.8077,0.1270,-0.0058,0.825
18:23:49:500,0.8052,0.1283,-0.0131,0.823
18:23:49:502,0.8385,0.1283,-0.0473,0.856
18:23:49:504,0.8707,0.1329,-0.0740,0.890
18:23:49:506,0.8822,0.1444,-0.0930,0.905
18:23:49:508,0.8692,0.1639,-0.1128,0.898
18:23:49:512,0.8558,0.1801,-0.1355,0.892
