time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.163665,0.0035,0.0391,0.2450,0.248
3.167578,-0.0284,0.0268,0.2593,0.262
3.175442,-0.0595,-0.0000,0.2785,0.285
3.183597,-0.0732,-0.0199,0.2810,0.291
3.191444,-0.0773,-0.0085,0.3003,0.310
3.200842,-0.1152,-0.0040,0.2908,0.313
3.212302,-0.1201,0.0248,0.2908,0.316
3.216117,-0.0970,0.0681,0.2380,0.266
3.223146,-0.0695,0.1084,0.1590,0.205
3.238370,-0.0396,0.1173,0.1087,0.165
3.239900,0.0027,0.1113,0.0944,0.146
3.247853,0.0361,0.0809,0.0922,0.128
3.256739,0.0626,0.0643,0.0781,0.119
3.267190,0.0651,0.0835,0.0544,0.119
3.271893,0.0675,0.0671,0.0187,0.097
3.279099,0.0697,0.0537,0.0261,0.092
3.287363,0.0429,0.0363,0.0740,0.093
3.295177,0.0234,0.0153,0.1314,0.134
3.303124,0.0181,0.0070,0.2126,0.213
3.311208,-0.0065,0.0108,0.2555,0.256
3.323151,-0.0169,0.0145,0.2840,0.285
3.327555,-0.0009,-0.0039,0.2791,0.279
3.340114,0.0035,-0.0108,0.2742,0.274
3.343247,0.0029,-0.0181,0.2598,0.260
3.351926,-0.0073,0.0078,0.2263,0.227
3.359054,-0.0345,0.0215,0.1689,0.174
3.367140,-0.0524,0.0661,0.1449,0.168
3.375354,-0.0565,0.0844,0.0635,0.120
3.383312,-0.0610,0.0933,0.0347,0.117
3.391127,-0.0559,0.0742,0.0585,0.110
3.400031,-0.0656,0.0602,0.0822,0.121
3.407235,-0.0469,0.0465,0.0891,0.111
3.420337,-0.0400,0.0547,0.1008,0.121
3.423550,-0.0229,0.0492,0.1364,0.147
3.431045,-0.0190,0.0294,0.1888,0.192
3.439244,-0.0332,0.0145,0.2269,0.230
3.447476,-0.0416,-0.0079,0.2507,0.254
3.460017,-0.0618,-0.0236,0.2842,0.292
3.465432,-0.0696,-0.0398,0.2747,0.286
3.481968,-0.0825,-0.0277,0.2365,0.252
3.483901,-0.0884,-0.0133,0.1839,0.204
3.486712,-0.0972,-0.0061,0.1504,0.179
3.494793,-0.0800,-0.0011,0.1265,0.150
3.503212,-0.0728,-0.0028,0.1264,0.146
3.510765,-0.0567,-0.0016,0.1550,0.165
3.524365,-0.0524,0.0095,0.1811,0.189
3.526935,-0.0497,0.0279,0.1857,0.194
3.545757,-0.0269,0.0436,0.1641,0.172
3.547838,-0.0152,0.0590,0.1474,0.159
3.555648,0.0114,0.0456,0.1355,0.143
3.558605,0.0145,0.0249,0.1692,0.172
3.568698,0.0202,0.0089,0.2172,0.218
3.574479,-0.0005,0.0168,0.2533,0.254
3.582639,-0.0166,0.0079,0.2654,0.266
3.590468,-0.0328,0.0326,0.2392,0.244
3.598892,-0.0518,0.0457,0.2153,0.226
3.607140,-0.0540,0.0688,0.2033,0.221
3.614570,-0.0372,0.0680,0.1842,0.200
3.629094,-0.0154,0.0767,0.1579,0.176
3.631514,-0.0031,0.0492,0.2034,0.209
3.653094,0.0070,0.0357,0.2442,0.247
3.655927,0.0124,0.0385,0.2396,0.243
3.657805,-0.0011,0.0409,0.2351,0.239
3.662293,-0.0334,0.0356,0.2426,0.247
3.669861,-0.0515,0.0253,0.2214,0.229
3.677861,-0.0584,0.0173,0.1714,0.182
3.686593,-0.0469,0.0168,0.1501,0.158
3.693782,-0.0434,0.0290,0.1190,0.130
3.702017,-0.0359,0.0369,0.1070,0.119
3.709899,-0.0071,0.0452,0.0853,0.097
3.717748,-0.0049,0.0444,0.0779,0.090
3.725775,0.0116,0.0390,0.1136,0.121
3.739804,-0.0007,0.0478,0.1278,0.136
3.741465,-0.0248,0.0273,0.1755,0.179
3.757873,-0.0390,0.0210,0.2497,0.254
3.759551,-0.0560,0.0024,0.2544,0.260
3.765572,-0.0419,0.0145,0.2184,0.223
3.773571,-0.0162,0.0192,0.1825,0.184
3.781610,0.0120,0.0285,0.1418,0.145
3.789445,0.0523,0.0401,0.1274,0.143
3.797288,0.0423,0.0803,0.1179,0.149
3.805558,0.0011,0.0846,0.1346,0.159
3.813347,-0.0261,0.0819,0.1945,0.213
3.828746,-0.0156,0.0314,0.2614,0.264
3.831066,-0.0105,-0.0210,0.3235,0.324
3.853324,-0.0203,-0.0804,0.3951,0.404
3.856105,-0.0115,-0.1231,0.4331,0.450
3.859777,0.0188,-0.1301,0.4185,0.439
3.861550,0.0494,-0.1089,0.3393,0.360
3.869016,0.0545,-0.0716,0.2123,0.231
3.877036,0.0199,-0.0156,0.0831,0.087
3.885249,-0.0139,0.0142,0.0090,0.022
3.893052,-0.0545,0.0418,-0.0579,0.090
3.902112,-0.0520,0.0600,-0.0961,0.125
3.909421,-0.0358,0.0666,-0.1080,0.132
3.919619,-0.0176,0.0661,-0.0889,0.112
3.925197,-0.0046,0.0609,-0.0722,0.095
3.933262,-0.0011,0.0682,-0.0124,0.069
3.940994,-0.0382,0.0571,0.0449,0.082
3.949078,-0.0466,0.0563,0.0973,0.122
3.961475,-0.0746,0.0420,0.2094,0.226
3.969047,-0.0953,0.0330,0.3263,0.342
3.980729,-0.0779,0.0167,0.3977,0.406
3.981838,-0.0579,-0.0027,0.4404,0.444
3.991137,-0.0254,0.0197,0.4163,0.418
3.996587,-0.0066,0.0434,0.3229,0.326
4.005002,-0.0300,0.0783,0.2632,0.276
4.012729,-0.0580,0.0958,0.2323,0.258
4.029073,-0.0667,0.1085,0.2254,0.259
4.030836,-0.0757,0.1044,0.1945,0.233
4.048051,-0.0662,0.0814,0.1875,0.215
4.050495,-0.0310,0.0662,0.1947,0.208
4.058914,0.0015,0.0417,0.1755,0.180
4.061222,0.0126,0.0439,0.1587,0.165
4.069752,0.0122,0.0297,0.1252,0.129
4.076604,0.0050,0.0494,0.0772,0.092
4.087318,-0.0091,0.0169,0.0747,0.077
4.092482,-0.0228,0.0136,0.0962,0.100
4.100436,-0.0312,0.0032,0.1535,0.157
4.108559,-0.0301,-0.0098,0.2061,0.209
4.116184,-0.0078,-0.0159,0.2037,0.204
4.129649,0.0146,-0.0247,0.1749,0.177
4.132865,-0.0042,-0.0361,0.1342,0.139
4.149984,-0.0113,-0.0428,0.1174,0.125
4.152098,-0.0381,-0.0490,0.1220,0.137
4.156865,-0.0556,-0.0236,0.1769,0.187
4.163838,-0.0856,0.0016,0.2293,0.245
4.172555,-0.0661,0.0193,0.2458,0.255
4.179690,-0.0469,0.0243,0.1834,0.191
4.188941,-0.0273,0.0359,0.1378,0.145
4.195749,-0.0190,0.0571,0.1162,0.131
4.203428,-0.0194,0.0663,0.1210,0.139
4.211480,-0.0024,0.0733,0.1354,0.154
4.220017,0.0096,0.0638,0.1330,0.148
4.232108,0.0145,0.0454,0.1593,0.166
4.238434,0.0049,0.0395,0.1926,0.197
4.243322,-0.0242,0.0414,0.2068,0.212
4.251224,-0.0417,0.0483,0.2137,0.223
4.259517,-0.0564,0.0413,0.2325,0.243
4.270262,-0.0519,0.0416,0.2609,0.269
