time,gFx,gFy,gFz,0
22:25:05:099,0.8272,-0.1351,0.6360,1.057
22:25:05:102,0.8492,-0.1349,0.6438,1.079
22:25:05:103,0.8658,-0.1307,0.6477,1.094
22:25:05:105,0.8661,-0.1244,0.6370,1.087
22:25:05:107,0.8336,-0.1126,0.6108,1.045
22:25:05:109,0.8514,-0.1031,0.5976,1.051
22:25:05:111,0.9081,-0.0955,0.5891,1.092
22:25:05:113,0.9604,-0.0887,0.5832,1.132
22:25:05:115,0.9977,-0.0804,0.5822,1.163
22:25:05:117,1.0241,-0.0687,0.5803,1.185
22:25:05:119,1.0403,-0.0537,0.5764,1.197
22:25:05:121,1.0405,-0.0366,0.5749,1.196
22:25:05:124,1.0273,-0.0169,0.5791,1.187
22:25:05:126,1.0056,0.0024,0.5866,1.173
22:25:05:127,0.9772,0.0283,0.5957,1.155
22:25:05:129,0.9401,0.0660,0.6032,1.131
22:25:05:131,0.8893,0.1256,0.6101,1.101
22:25:05:133,0.8636,0.1647,0.6108,1.088
22:25:05:135,0.8656,0.1749,0.6108,1.092
22:25:05:137,0.8729,0.1771,0.6169,1.102
22:25:05:139,0.8739,0.1744,0.6321,1.111
22:25:05:141,0.8702,0.1673,0.6445,1.114
22:25:05:143,0.8690,0.1559,0.6443,1.110
22:25:05:145,0.8705,0.1383,0.6328,1.102
22:25:05:147,0.8644,0.1226,0.6250,1.090
22:25:05:149,0.8565,0.1124,0.6287,1.084
22:25:05:151,0.8553,0.1053,0.6331,1.085
22:25:05:154,0.8578,0.0867,0.6443,1.091
22:25:05:155,0.8717,0.0613,0.6572,1.107
22:25:05:161,0.9012,0.0283,0.6704,1.136
22:25:05:162,0.9291,-0.0010,0.6804,1.162
22:25:05:163,0.9428,-0.0169,0.6885,1.177
22:25:05:166,0.9438,-0.0215,0.6978,1.184
22:25:05:167,0.9369,-0.0213,0.7110,1.186
22:25:05:167,0.9237,-0.0191,0.7276,1.186
22:25:05:170,0.9056,-0.0156,0.7476,1.185
