time,gFx,gFy,gFz,0
18:11:13:511,0.8961,-0.0518,0.1882,0.918
18:11:13:514,0.8863,-0.0528,0.1593,0.902
18:11:13:515,0.8810,-0.0555,0.1286,0.891
18:11:13:518,0.8815,-0.0601,0.0968,0.887
18:11:13:520,0.8929,-0.0672,0.0702,0.896
18:11:13:523,0.9176,-0.0765,0.0509,0.919
18:11:13:524,0.9533,-0.0855,0.0406,0.954
18:11:13:526,0.9914,-0.0923,0.0411,0.992
18:11:13:527,1.0239,-0.0980,0.0499,1.026
18:11:13:530,1.0417,-0.1026,0.0653,1.045
18:11:13:532,1.0420,-0.1055,0.0897,1.047
18:11:13:533,1.0290,-0.1058,0.1286,1.039
18:11:13:535,1.0048,-0.1026,0.1786,1.024
18:11:13:538,0.9745,-0.0945,0.2295,1.005
18:11:13:540,0.9452,-0.0828,0.2764,0.989
18:11:13:542,0.9240,-0.0708,0.3172,0.982
18:11:13:543,0.9161,-0.0621,0.3509,0.986
18:11:13:546,0.9259,-0.0577,0.3800,1.006
18:11:13:548,0.9550,-0.0579,0.4095,1.045
18:11:13:550,0.9970,-0.0606,0.4422,1.097
18:11:13:551,1.0337,-0.0628,0.4701,1.142
18:11:13:553,1.0534,-0.0630,0.4860,1.166
18:11:13:559,1.0549,-0.0606,0.4862,1.168
18:11:13:560,1.0434,-0.0557,0.4711,1.151
18:11:13:561,1.0312,-0.0515,0.4459,1.129
18:11:13:563,1.0217,-0.0481,0.4178,1.109
18:11:13:565,1.0175,-0.0442,0.3912,1.095
18:11:13:566,1.0256,-0.0398,0.3697,1.095
18:11:13:569,1.0527,-0.0357,0.3538,1.115
18:11:13:571,1.0950,-0.0303,0.3428,1.152
18:11:13:572,1.1407,-0.0242,0.3333,1.192
18:11:13:574,1.1617,-0.0198,0.3272,1.211
18:11:13:576,1.1949,-0.0071,0.3096,1.238
18:11:13:578,1.2149,0.0095,0.2864,1.252
18:11:13:579,1.2252,0.0257,0.2617,1.257
18:11:13:581,1.2293,0.0388,0.2397,1.258
18:11:13:583,1.2318,0.0489,0.2194,1.257
18:11:13:586,1.2323,0.0559,0.2023,1.255
18:11:13:587,1.2301,0.0596,0.1918,1.251
18:11:13:590,1.2308,0.0577,0.1862,1.251
18:11:13:592,1.2377,0.0515,0.1855,1.257
18:11:13:594,1.2455,0.0442,0.1865,1.264
18:11:13:596,1.2479,0.0359,0.1916,1.267
18:11:13:598,1.2460,0.0279,0.2019,1.266
18:11:13:599,1.2433,0.0205,0.2172,1.266
18:11:13:601,1.2416,0.0154,0.2302,1.266
18:11:13:604,1.2377,0.0176,0.2365,1.264
18:11:13:607,1.2118,0.0493,0.2373,1.241
18:11:13:609,1.1832,0.0889,0.2280,1.215
18:11:13:610,1.1876,0.0977,0.2084,1.216
18:11:13:612,1.2083,0.0994,0.1801,1.232
