time,gFx,gFy,gFz,0
17:18:25:533,-0.3667,0.7214,0.5143,1.006
17:18:25:539,-0.3669,0.7212,0.5138,1.006
17:18:25:541,-0.3677,0.7209,0.5138,1.006
17:18:25:542,-0.3679,0.7207,0.5141,1.006
17:18:25:543,-0.3684,0.7205,0.5143,1.006
17:18:25:544,-0.3699,0.7195,0.5141,1.006
17:18:25:545,-0.3706,0.7187,0.5131,1.005
17:18:25:546,-0.3711,0.7183,0.5121,1.004
17:18:25:547,-0.3713,0.7175,0.5107,1.003
17:18:25:548,-0.3718,0.7178,0.5094,1.003
17:18:25:549,-0.3738,0.7183,0.5080,1.003
17:18:25:550,-0.3745,0.7185,0.5067,1.003
17:18:25:551,-0.3738,0.7187,0.5055,1.002
17:18:25:552,-0.3740,0.7183,0.5041,1.001
17:18:25:553,-0.3748,0.7185,0.5019,1.001
17:18:25:554,-0.3745,0.7185,0.5009,1.000
17:18:25:555,-0.3745,0.7185,0.4999,0.999
17:18:25:556,-0.3748,0.7183,0.5004,1.000
17:18:25:557,-0.3760,0.7183,0.5014,1.001
17:18:25:558,-0.3770,0.7190,0.5021,1.002
17:18:25:558,-0.3789,0.7200,0.5014,1.003
17:18:25:559,-0.3806,0.7205,0.5001,1.003
17:18:25:560,-0.3814,0.7202,0.4997,1.003
17:18:25:561,-0.3823,0.7207,0.4997,1.004
17:18:25:565,-0.3833,0.7212,0.5001,1.005
17:18:25:566,-0.3845,0.7217,0.4994,1.005
17:18:25:589,-0.3845,0.7217,0.4987,1.005
17:18:25:591,-0.3845,0.7222,0.4987,1.005
17:18:25:592,-0.3843,0.7222,0.4972,1.005
17:18:25:593,-0.3840,0.7224,0.4970,1.005
17:18:25:594,-0.3838,0.7231,0.4967,1.005
17:18:25:595,-0.3836,0.7231,0.4962,1.005
17:18:25:596,-0.3833,0.7229,0.4965,1.004
17:18:25:597,-0.3819,0.7229,0.4980,1.005
17:18:25:598,-0.3804,0.7229,0.4992,1.005
17:18:25:599,-0.3809,0.7224,0.5009,1.005
17:18:25:600,-0.3804,0.7229,0.5033,1.007
17:18:25:601,-0.3794,0.7236,0.5048,1.008
17:18:25:602,-0.3789,0.7236,0.5065,1.008
17:18:25:604,-0.3789,0.7239,0.5080,1.009
17:18:25:605,-0.3784,0.7236,0.5094,1.010
17:18:25:606,-0.3777,0.7239,0.5102,1.010
17:18:25:607,-0.3775,0.7231,0.5107,1.010
17:18:25:608,-0.3782,0.7222,0.5107,1.009
17:18:25:609,-0.3784,0.7219,0.5099,1.009
17:18:25:610,-0.3784,0.7214,0.5099,1.008
17:18:25:611,-0.3784,0.7207,0.5099,1.008
17:18:25:612,-0.3797,0.7200,0.5102,1.008
17:18:25:613,-0.3809,0.7200,0.5102,1.008
17:18:25:614,-0.3806,0.7195,0.5097,1.008
17:18:25:614,-0.3809,0.7187,0.5102,1.007
17:18:25:617,-0.3809,0.7183,0.5102,1.007
17:18:25:619,-0.3814,0.7173,0.5099,1.006
17:18:25:622,-0.3814,0.7163,0.5089,1.005
17:18:25:623,-0.3814,0.7161,0.5094,1.005
17:18:25:625,-0.3814,0.7158,0.5102,1.005
17:18:25:626,-0.3806,0.7158,0.5109,1.005
17:18:25:629,-0.3797,0.7158,0.5114,1.005
17:18:25:630,-0.3787,0.7151,0.5116,1.005
17:18:25:633,-0.3782,0.7148,0.5119,1.004
17:18:25:635,-0.3775,0.7151,0.5119,1.004
17:18:25:637,-0.3767,0.7158,0.5119,1.004
17:18:25:638,-0.3762,0.7158,0.5111,1.004
17:18:25:641,-0.3760,0.7166,0.5111,1.004
17:18:25:642,-0.3748,0.7173,0.5109,1.004
17:18:25:644,-0.3740,0.7178,0.5097,1.004
