time,gFx,gFy,gFz,TgF
22:51:49:739,1.0317,0.0388,0.1723,1.051
22:51:49:743,1.0263,0.0283,0.1762,1.046
22:51:49:744,1.0183,0.0195,0.1784,1.038
22:51:49:745,1.0068,0.0117,0.1730,1.025
22:51:49:751,0.9926,0.0066,0.1601,1.008
22:51:49:752,0.9848,0.0076,0.1432,0.998
22:51:49:753,0.9809,0.0147,0.1293,0.992
22:51:49:754,0.9760,0.0276,0.1276,0.988
22:51:49:755,0.9738,0.0335,0.1317,0.987
22:51:49:757,0.9728,0.0420,0.1427,0.989
22:51:49:759,0.9726,0.0493,0.1493,0.990
22:51:49:761,0.9577,0.0520,0.1523,0.976
22:51:49:765,0.9386,0.0511,0.1398,0.955
22:51:49:767,0.9235,0.0481,0.1105,0.936
22:51:49:768,0.9188,0.0410,0.0743,0.926
22:51:49:769,0.9279,0.0318,0.0404,0.932
22:51:49:771,0.9386,0.0235,0.0052,0.940
22:51:49:773,0.9457,0.0203,-0.0322,0.947
22:51:49:775,0.9552,0.0222,-0.0674,0.957
22:51:49:777,0.9667,0.0271,-0.0920,0.971
22:51:49:779,0.9758,0.0332,-0.1013,0.981
22:51:49:782,0.9806,0.0425,-0.0977,0.986
22:51:49:784,0.9789,0.0547,-0.0879,0.985
22:51:49:785,0.9770,0.0655,-0.0703,0.983
22:51:49:787,0.9804,0.0760,-0.0517,0.987
22:51:49:789,0.9868,0.0867,-0.0359,0.994
22:51:49:792,0.9936,0.0963,-0.0236,1.002
22:51:49:793,1.0004,0.1041,-0.0258,1.010
22:51:49:797,1.0043,0.1077,-0.0398,1.015
22:51:49:799,1.0051,0.1090,-0.0603,1.017
22:51:49:800,1.0134,0.1121,-0.0847,1.027
22:51:49:802,1.0327,0.1182,-0.1199,1.049
22:51:49:803,1.0495,0.1234,-0.1580,1.071
22:51:49:806,1.0515,0.1283,-0.1856,1.078
22:51:49:807,1.0420,0.1361,-0.2013,1.072
22:51:49:809,1.0332,0.1502,-0.2037,1.067
22:51:49:811,1.0346,0.1686,-0.1991,1.071
22:51:49:813,1.0459,0.1847,-0.1951,1.084
22:51:49:817,1.0530,0.1928,-0.1966,1.093
22:51:49:818,1.0591,0.1969,-0.2008,1.101
22:51:49:819,1.0723,0.2006,-0.2052,1.115
22:51:49:821,1.0862,0.2030,-0.2120,1.130
22:51:49:823,1.1008,0.2038,-0.2213,1.146
22:51:49:825,1.1104,0.2025,-0.2330,1.157
22:51:49:827,1.1052,0.1984,-0.2347,1.151
22:51:49:829,1.1008,0.1952,-0.2313,1.146
22:51:49:832,1.0947,0.1974,-0.2325,1.141
22:51:49:834,1.0828,0.2035,-0.2381,1.132
22:51:49:836,1.0718,0.2042,-0.2477,1.123
22:51:49:837,1.0654,0.2020,-0.2469,1.117
22:51:49:839,1.0652,0.2030,-0.2359,1.114
22:51:49:841,1.0671,0.2047,-0.2240,1.114
22:51:49:843,1.0669,0.2060,-0.2162,1.113
22:51:49:845,1.0659,0.2062,-0.2120,1.111
22:51:49:851,1.0620,0.2064,-0.2096,1.107
22:51:49:853,1.0534,0.2052,-0.2069,1.098
22:51:49:854,1.0447,0.2018,-0.2027,1.088
22:51:49:856,1.0376,0.1962,-0.1983,1.080
22:51:49:857,1.0258,0.1874,-0.1927,1.065
22:51:49:858,1.0217,0.1820,-0.1754,1.058
22:51:49:860,1.0317,0.1815,-0.1448,1.063
22:51:49:860,1.0410,0.1813,-0.1179,1.069
22:51:49:863,1.0412,0.1791,-0.0991,1.067
22:51:49:873,1.0354,0.1761,-0.0837,1.060
22:51:49:875,1.0246,0.1722,-0.0720,1.048
22:51:49:877,1.0114,0.1659,-0.0652,1.033
22:51:49:877,0.9982,0.1571,-0.0640,1.019
22:51:49:878,0.9882,0.1488,-0.0659,1.007
22:51:49:879,0.9919,0.1444,-0.0647,1.010
22:51:49:880,1.0004,0.1407,-0.0684,1.018
22:51:49:881,1.0083,0.1358,-0.0837,1.025
22:51:49:881,1.0168,0.1322,-0.1004,1.034
22:51:49:883,1.0276,0.1302,-0.1109,1.045
22:51:49:885,1.0405,0.1283,-0.1189,1.059
22:51:49:887,1.0552,0.1258,-0.1265,1.073
22:51:49:888,1.0649,0.1266,-0.1285,1.083
22:51:49:890,1.0605,0.1361,-0.1258,1.080
22:51:49:892,1.0471,0.1505,-0.1309,1.070
22:51:49:895,1.0339,0.1620,-0.1404,1.061
22:51:49:897,1.0239,0.1705,-0.1436,1.053
22:51:49:899,1.0153,0.1752,-0.1368,1.045
22:51:49:901,1.0061,0.1764,-0.1258,1.035
22:51:49:903,0.9992,0.1771,-0.1135,1.027
22:51:49:904,0.9951,0.1779,-0.1011,1.022
22:51:49:906,0.9955,0.1779,-0.0884,1.022
22:51:49:908,0.9953,0.1766,-0.0771,1.021
22:51:49:910,0.9965,0.1754,-0.0706,1.021
22:51:49:912,1.0026,0.1739,-0.0720,1.027
22:51:49:915,1.0080,0.1713,-0.0811,1.032
22:51:49:917,1.0119,0.1676,-0.0923,1.036
22:51:49:918,1.0173,0.1656,-0.1052,1.042
22:51:49:920,1.0222,0.1644,-0.1182,1.047
22:51:49:922,1.0261,0.1642,-0.1289,1.052
22:51:49:924,1.0293,0.1654,-0.1377,1.056
22:51:49:926,1.0322,0.1681,-0.1441,1.061
22:51:49:928,1.0361,0.1732,-0.1492,1.066
22:51:49:931,1.0383,0.1788,-0.1541,1.070
22:51:49:932,1.0351,0.1840,-0.1600,1.069
22:51:49:935,1.0295,0.1903,-0.1646,1.065
22:51:49:937,1.0246,0.1981,-0.1658,1.063
22:51:49:938,1.0210,0.2074,-0.1631,1.061
